Experiment,Models_type,METRIC,SCORES
36,Tuned,Balan_acc_scores,0.6607142857142857
37,Tuned,Balan_acc_scores,0.7916666666666667
38,Tuned,Balan_acc_scores,0.5535714285714286
39,Tuned,Balan_acc_scores,0.6590909090909091
40,Tuned,Balan_acc_scores,0.6428571428571428
41,Tuned,Balan_acc_scores,0.5357142857142857
42,Tuned,Balan_acc_scores,0.5833333333333334
43,Tuned,Balan_acc_scores,0.7272727272727273
44,Tuned,Balan_acc_scores,0.8035714285714286
45,Tuned,Balan_acc_scores,0.5714285714285714
46,Tuned,Balan_acc_scores,0.6488095238095238
47,Tuned,Balan_acc_scores,0.5681818181818182
48,Tuned,Balan_acc_scores,0.6309523809523809
49,Tuned,Balan_acc_scores,0.5773809523809523
50,Tuned,Balan_acc_scores,0.6607142857142857
